code,name
KMR,Main Rail(s)
KMV,Electrical Connection Cover on Motor - Evaporataor #
KNR,"Radius Rod, Non-adjust"
KOH,Hub Cap-oil
KOS,"Oil Seal, Wheel Bearing"
KPB,Anchor Pin Bushing 
KPB ,License plate mounting bracket 
KPL,Pin Lock
KPP,Pick-up Plate
KPR,Brake Chamber Push Rod
KPS,Pinion Shaft
KQA ,Central equalizer assembly 
KQH,Equalizer Hanger
KQR,Brake Quick Release Valve
KRA ,Rubber absorber for axles 
KRB,Air Tank Mounting Bracket
KRC,Rim Clamps (Lug)
KRF,Reflector (Rear or Side)
KRG,Registration Certificate
KRH,Rear Spring Hanger
KRK,Air Valve cartridge
KRL,Running Lights
KRM,Rim
KRN ,Air tank nipple 
KRO,Brake Rollers
KRR,Adjustable Radius Rod
KRS,Reservoir Air/Tank
KRT,Reflective Tape #
KRV,"Relay Valve, Air"
KRX,Rim Spacer
KSA,Brake Shoe Assembly (with Lining)
KSB,Spring Brake
KSC,Anti-skid Controller
KSD,Slider Assembly
KSE,Brake Shoe (with Lining)
KSF,Subframe Rails and Structure
KSG,Bulb
KSH,Turn Signal Lights Assembly
KSI,Tension Spring
KSJ ,Slider guide plates 
KSK,Anti-skid Assembly
KSL,Side Marker Lights
KSM,Mounting Rim (Side Light) #
KSN,"Lamp 2.5"" Yellow (Side Light) #"
KSO,Stop Light Assembly
KSP,Chassis Slid Step Plate
KSQ ,"Slider retaining rail, bolted on type "
KSR,Brake Line Service
KSS,Springs
KST,Spring Seat
KSU,Spring Suspension Assembly
KSV,Slider Lock Handle Retainer
KSW,Wheel - Spoke type
KSX,Slider Locking Pin Assembly
KSY,Slider Locking Pin
KSZ,Slider Lock Handle
KTA,Tire Complete - Tube/Tubeless
KTB,Tube
KTC,Tire/Spare Wheel Carrier
KTE,Twist Lock/Pin Lock Handle Retainer
KTH,Twist Lock/Pin Lock Handle
KTI,Tail Lights Assembly
KTK,Twist Lock Riser Block Spacer
KTL,Stop/Tail/Turn Light Assembly
KTN ,Tyre OEM 
KTO,Twist Lock Housing
KTP,Tail Light Bracket/Protector
KTR,"Transition Area, Chassis"
KTS,Ind Lights Lens Cover (Reinke) #
KTT,Kingpin Plate  #
KTU,Bracket-Rear Side Light (Reinke) #
KTV,Tire Valve
KTW,Twist Lock
KTX,Ind Lights Mount Rim (Reinke) #
KTY,Refectors Mount Rim (Reinke) #
KTZ,"Lamp 2.5"" Red Lens (Reinke)  #"
KUB,U Bolt Assembly
KUP ,U-bolt spacer plate 
KUS,U Bolt Saddle
KUX ,U-bolt only 
KVA,Valve - 4 Way 3 Pos Manual  #
KVC,Valve Stem Cap
KVD ,Shock absorber 
KVF,Air Valve inlet filter
KVP,Valve - Pressure Pro #
KWA,Wheel Bearing Lock Washer
KWB,Wheel Bearings
KWC,Condenser / Rec Strap
KWF,Condenser / Receiver Fixings
KWG,Receiver Sight Glass
KWH,Wiring Harness/Wiring
KWI,Inner Wheel bearing with race
KWK,Brace or Stepup (Reinke) #
KWL,Ladder Landing (Tank) #
KWO,Outer wheel bearing with race
KWR ,Bolster wiring harness 
KWS,Wheel Stud
KWT,Refrigerant Receiver
KWW,Deck or Walkway Assembly #
KWX,Receiver Sight Glass - Alternative style #
KXG,Crossmember Chassis Gusset/Stiffener
KXM,"Crossmembers, Chassis Main Frame"
LBA,Locking Bar Assembly
LBB,Locking Bar Bracket
LBC,Locking Bar Cam
LBF,"Door, Customs Flap"
LBG,Locking Bar Guide
LBH,Locking Bar Handle
LBI,Door Handle Retainer ((lock bar !) use DHR)
LBL,Locking Bar Lug
LBN,Locking Bar Nut
LBR,Locking Bar Rod/Tube
LBT,Lock Bolt
LCK,Locking Cam Keeper
LEB,Endwall Locking Bolt Assembly  #
LED,Endwall Securing Device  #
LGC,Liquid Line Serv Vlve Gauge Con/Cap
LHH,Locking bar handle hub #
LIA,Interlink Assembly #
